Age Male Female Age Male Female Age Male Female
0 70.83 75.83 34 39.54 43.91 68 12.14 15.10 
1 70.13 75.04 35 38.61 42.98 69 11.54 14.38 
2 69.20 74.11 36 37.69 42.05 70 10.96 13.67 
3 68.27 73.17 37 36.78 41.12 71 10.39 12.97 
4 67.34 72.23 38 35.87 40.20 72 9.84 12.26 
5 66.40 71.28 39 34.96 39.28 73 9.30 11.60 
6 65.46 70.34 40 34.05 38.36 74 8.79 10.95 
7 64.52 69.39 41 33.16 37.46 75 8.31 10.32 
8 63.57 68.44 42 32.26 36.55 76 7.84 9.71 
9 62.62 67.48 43 31.38 35.66 77 7.40 9.12 
10 61.66 66.53 44 30.50 34.77 78 6.97 8.55 
11 60.71 65.58 45 29.62 33.88 79 6.57 8.01 
12 59.75 64.62 46 28.76 33.00 80 6.18 7.48 
13 58.80 63.67 47 27.90 32.12 81 5.80 6.98 
14 57.86 62.71 48 27.04 31.25 82 5.44 6.49 
15 56.93 61.76 49 26.20 30.39 83 5.09 6.03 
16 56.00 60.82 50 25.36 29.53 84 4.77 5.59 
17 55.09 59.87 51 24.52 28.67 85 4.46 5.18 
18 54.18 58.93 52 23.70 27.82 86 4.18 4.80 
19 53.27 57.98 53 22.89 26.98 87 3.91 4.43 
20 52.37 57.04 54 22.08 26.14 88 3.66 4.09 
21 51.47 56.10 55 21.29 25.31 89 3.41 3.77 
22 50.57 55.16 56 20.51 24.49 90 3.18 3.45 
23 49.66 54.22 57 19.74 23.67 91 2.94 3.15 
24 48.75 53.28 58 18.99 22.86 92 2.70 2.85 
25 47.84 52.34 59 18.24 22.05 93 2.44 2.55 
26 46.93 51.40 60 17.51 21.25 94 2.17 2.24 
27 46.01 50.46 61 16.79 20.44 95 1.87 1.91 
28 45.09 49.52 62 16.08 19.65 96 1.54 1.56 
29 44.16 48.59 63 15.38 18.86 97 1.20 1.21 
30 43.24 47.65 64 14.70 18.08 98 0.84 0.84 
31 42.31 46.71 65 14.04 17.32 99 0.50 0.50 
32 41.38 45.78 66 13.39 16.57 100 0 0
33 40.46 44.84 67 12.76 15.83 101 0 0
